id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,lot_shape,land_contour,utilities,lot_config,land_slope,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_val,mo_sold,yr_sold,sale_type,saleprice,pool_score,garage_score,fireplace_score,basement_score,kitchen_score,overall_score
1480,907418040,20,RL,74.0,9627,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,0.0,4,3,PConc,4,3,3.0,6.0,24.0,1.0,0.0,1327.0,1351.0,GasA,5,Y,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,Typ,0,0,2007.0,2.0,2.0,610.0,3,3,Y,0,50,0,0,0,0,0,0.0,0,6,2008,WD ,193000,0,10980,0,16212,4,35
324,923202105,20,RL,93.0,10114,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,0.0,3,3,PConc,5,3,3.0,1.0,0.0,1.0,0.0,1430.0,1430.0,GasA,5,Y,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,Typ,0,0,2004.0,2.0,2.0,624.0,3,3,Y,0,0,0,0,0,0,0,0.0,0,3,2010,WD ,173500,0,11232,0,21450,4,25
1311,902301140,70,RM,34.0,4571,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,0.0,3,3,BrkTil,3,3,1.0,1.0,0.0,1.0,0.0,624.0,624.0,GasA,2,N,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,Typ,0,0,1916.0,1.0,3.0,513.0,2,2,Y,0,0,96,0,0,0,0,0.0,0,5,2008,COD,98000,0,6156,0,5616,3,25
770,905101490,20,RL,80.0,8816,Pave,Reg,Lvl,AllPub,Corner,Gtl,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,0.0,3,3,PConc,3,3,1.0,3.0,651.0,1.0,0.0,470.0,1121.0,GasA,3,Y,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,Typ,0,0,1963.0,1.0,2.0,480.0,3,3,Y,0,80,0,0,0,0,0,3.0,0,6,2009,WD ,139000,0,8640,0,10089,3,30
2063,905107140,20,RL,71.0,8197,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,148.0,3,3,CBlock,3,3,1.0,1.0,0.0,1.0,0.0,660.0,660.0,GasA,5,Y,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,Typ,1,3,1977.0,2.0,2.0,528.0,3,3,Y,138,0,0,0,0,0,0,3.0,0,4,2007,WD ,143500,0,9504,3,5940,3,30
69,528458070,60,FV,72.0,8640,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,0.0,3,3,PConc,4,3,2.0,6.0,24.0,1.0,0.0,732.0,756.0,GasA,5,Y,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,Typ,0,0,2009.0,1.0,2.0,614.0,3,3,Y,169,45,0,0,0,0,0,0.0,0,6,2010,Con,215200,0,11052,0,9072,4,35
2062,905106150,20,RL,109.0,8724,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,0.0,3,3,CBlock,4,3,1.0,4.0,492.0,1.0,0.0,402.0,894.0,GasA,4,Y,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,3,5,Typ,1,1,1968.0,3.0,2.0,450.0,3,3,Y,0,0,0,0,0,0,0,0.0,0,5,2007,WD ,129000,0,8100,1,10728,3,25
351,527131030,120,RL,40.0,5664,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,0.0,4,3,PConc,4,3,1.0,6.0,1158.0,1.0,0.0,343.0,1501.0,GasA,5,Y,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,Typ,1,5,2000.0,3.0,2.0,499.0,3,3,Y,212,59,0,0,0,0,0,0.0,0,10,2009,WD ,278000,0,8982,5,18012,5,40
2393,528142010,60,RL,103.0,12867,Pave,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,0.0,4,3,PConc,5,3,3.0,1.0,0.0,1.0,0.0,1209.0,1209.0,GasA,5,Y,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,Typ,1,4,2005.0,3.0,2.0,575.0,3,3,Y,243,142,0,0,0,0,0,0.0,0,7,2006,New,344133,0,10350,4,18135,5,40
12,527165230,20,RL,0.0,7980,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,0.0,3,4,PConc,4,3,1.0,5.0,935.0,1.0,0.0,233.0,1168.0,GasA,5,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,Typ,0,0,1992.0,3.0,2.0,420.0,3,3,Y,483,21,0,0,0,0,0,4.0,500,3,2010,WD ,185000,0,7560,0,14016,3,42
2339,527250040,190,RL,100.0,34650,Pave,Reg,Bnk,AllPub,Inside,Gtl,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,0.0,3,3,CBlock,3,3,2.0,3.0,1056.0,1.0,0.0,0.0,1056.0,GasA,3,N,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,Typ,0,0,1955.0,3.0,2.0,572.0,3,3,Y,264,0,0,0,0,0,0,0.0,0,1,2006,WD ,145000,0,10296,0,9504,3,25
624,535104120,20,RL,92.0,10573,Pave,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,3.0,3,3,CBlock,3,3,1.0,3.0,1312.0,1.0,0.0,141.0,1453.0,GasA,5,Y,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,Typ,1,3,1961.0,2.0,2.0,530.0,3,3,Y,0,49,0,0,288,0,0,4.0,0,4,2009,WD ,187500,0,9540,3,13077,3,36
86,532376160,20,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,0.0,3,4,CBlock,3,3,1.0,6.0,553.0,4.0,117.0,224.0,894.0,GasA,5,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,3,5,Typ,1,4,1973.0,1.0,1.0,336.0,3,3,Y,416,144,0,0,0,0,0,3.0,0,4,2010,WD ,138500,0,3024,4,8046,3,40
1534,909277040,50,RL,0.0,11700,Pave,IR1,HLS,AllPub,Inside,Mod,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,0.0,3,3,CBlock,3,3,1.0,4.0,606.0,1.0,0.0,336.0,942.0,GasA,5,Y,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,Min2,1,4,1937.0,1.0,1.0,240.0,3,3,Y,0,40,0,0,0,0,0,0.0,0,7,2008,WD ,198000,0,2160,4,8478,4,30
2243,911103060,190,C (all),75.0,8250,Pave,Reg,Lvl,AllPub,Inside,Gtl,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,0.0,3,4,CBlock,3,3,1.0,1.0,0.0,1.0,0.0,957.0,957.0,GasA,2,N,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,Typ,0,0,-1.0,0.0,0.0,0.0,0,0,N,0,0,133,0,0,0,0,0.0,0,6,2007,WD ,119600,0,0,0,8613,6,30
1957,535450190,50,RL,60.0,8064,Pave,Reg,Lvl,AllPub,Corner,Gtl,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,0.0,3,4,CBlock,3,3,2.0,1.0,0.0,1.0,0.0,672.0,672.0,GasA,5,Y,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,3,6,Typ,1,1,2003.0,1.0,2.0,576.0,3,3,Y,0,0,0,0,0,0,0,3.0,2000,7,2007,WD ,122900,0,10368,1,6048,3,35
380,527355150,20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,0.0,4,3,PConc,4,3,1.0,5.0,1104.0,1.0,0.0,1420.0,2524.0,GasA,3,Y,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,Typ,1,4,1981.0,3.0,2.0,542.0,3,3,Y,474,120,0,0,0,0,0,3.0,0,7,2009,WD ,278000,0,9756,4,30288,4,40
2860,909276010,70,RL,0.0,11435,Pave,IR1,HLS,AllPub,Corner,Mod,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,0.0,3,3,PConc,4,3,1.0,1.0,0.0,1.0,0.0,792.0,792.0,GasA,2,Y,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,Typ,2,4,1931.0,1.0,2.0,400.0,3,3,Y,0,0,0,0,0,0,0,0.0,0,6,2006,WD ,230000,0,7200,8,9504,4,56
2517,533250130,120,RL,30.0,9549,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,0.0,4,4,PConc,4,4,3.0,2.0,437.0,6.0,1057.0,0.0,1494.0,GasA,5,Y,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,Typ,1,4,1995.0,3.0,2.0,481.0,3,3,Y,0,30,0,0,216,0,0,0.0,0,4,2006,WD ,270000,0,8658,4,23904,5,40
1933,535302070,20,RL,60.0,10950,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,0.0,3,3,CBlock,3,3,1.0,5.0,441.0,1.0,0.0,507.0,948.0,GasA,3,Y,SBrkr,948,0,0,948,0.0,0.0,1,0,2,1,3,5,Typ,0,0,1952.0,1.0,2.0,410.0,3,3,N,0,48,0,0,0,0,0,0.0,0,4,2007,WD ,125000,0,7380,0,8532,3,36
820,906340110,20,RL,79.0,10637,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,336.0,4,3,PConc,5,3,4.0,6.0,1288.0,1.0,0.0,417.0,1705.0,GasA,5,Y,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,Typ,1,4,2007.0,2.0,3.0,826.0,3,3,Y,208,44,0,0,0,0,0,0.0,0,9,2009,WD ,297000,0,22302,4,25575,4,40
675,535426150,20,RL,80.0,9000,Pave,IR1,HLS,AllPub,Inside,Mod,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,82.0,3,3,CBlock,4,3,4.0,1.0,0.0,1.0,0.0,160.0,160.0,GasA,2,Y,SBrkr,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,Typ,1,4,1958.0,2.0,1.0,384.0,3,3,Y,0,28,64,0,0,0,0,0.0,0,4,2009,WD ,113500,0,3456,4,1920,3,36
2910,923225240,160,RM,41.0,2665,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,0.0,3,3,PConc,3,3,1.0,5.0,548.0,3.0,173.0,36.0,757.0,GasA,5,Y,SBrkr,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,Typ,1,3,1977.0,2.0,1.0,336.0,3,3,Y,104,26,0,0,0,0,0,0.0,0,7,2006,WD ,127000,0,3024,3,6813,3,30
21,527358140,20,RL,105.0,11751,Pave,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,480.0,3,3,CBlock,4,3,1.0,4.0,705.0,1.0,0.0,1139.0,1844.0,GasA,5,Y,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,Typ,1,3,1977.0,2.0,2.0,546.0,3,3,Y,0,122,0,0,0,0,0,3.0,0,1,2010,COD,190000,0,9828,3,22128,3,36
1873,534177210,20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,320.0,3,3,CBlock,3,3,1.0,5.0,916.0,1.0,0.0,326.0,1242.0,GasA,2,Y,SBrkr,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,Typ,1,3,1973.0,1.0,2.0,528.0,3,3,Y,0,0,0,0,0,0,0,0.0,0,9,2007,WD ,175500,0,9504,3,11178,3,42
2125,907135050,20,RL,60.0,8428,Pave,IR2,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,0.0,3,4,PConc,4,4,1.0,6.0,420.0,1.0,0.0,570.0,990.0,GasA,5,Y,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,3,5,Typ,0,0,1995.0,1.0,1.0,384.0,3,3,Y,256,0,0,0,0,0,0,0.0,0,7,2007,WD ,146000,0,3456,0,15840,3,35
1489,908102260,20,RL,75.0,9937,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,0.0,4,3,CBlock,3,3,1.0,4.0,830.0,2.0,290.0,136.0,1256.0,GasA,4,Y,SBrkr,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,Typ,0,0,1965.0,3.0,1.0,276.0,3,3,Y,736,68,0,0,0,0,0,0.0,0,6,2008,WD ,147500,0,2484,0,11304,3,30
2383,528110050,20,RL,107.0,13891,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,0.0,5,3,PConc,5,4,4.0,6.0,1386.0,1.0,0.0,690.0,2076.0,GasA,5,Y,SBrkr,2076,0,0,2076,1.0,0.0,2,1,2,1,5,7,Typ,1,4,2006.0,3.0,3.0,850.0,3,3,Y,216,229,0,0,0,0,0,0.0,0,9,2006,New,465000,0,22950,4,41520,5,50
983,923275040,85,RL,0.0,9101,Pave,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,104.0,3,4,PConc,4,3,3.0,6.0,1097.0,1.0,0.0,0.0,1097.0,GasA,5,Y,SBrkr,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,Typ,1,3,1978.0,3.0,2.0,602.0,3,3,Y,303,30,0,0,0,0,0,0.0,0,7,2009,WD ,165500,0,10836,3,13164,4,30
1325,902406090,50,RM,81.0,12150,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,335.0,3,3,BrkTil,3,3,1.0,1.0,0.0,1.0,0.0,1050.0,1050.0,GasA,5,N,FuseF,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,Typ,0,0,1954.0,1.0,1.0,352.0,2,3,Y,0,0,0,0,0,0,0,0.0,0,11,2008,WD ,131500,0,2112,0,9450,3,25
1378,905102170,20,RL,70.0,11200,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,0.0,3,3,CBlock,3,3,1.0,3.0,906.0,1.0,0.0,134.0,1040.0,GasA,5,Y,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,Typ,0,0,1965.0,1.0,1.0,384.0,3,3,Y,0,0,0,0,0,0,0,0.0,0,2,2008,WD ,129500,0,3456,0,9360,3,25
1537,909281110,70,RL,100.0,9670,Pave,IR1,HLS,AllPub,Inside,Mod,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,40.0,3,3,PConc,3,2,1.0,2.0,210.0,1.0,0.0,398.0,608.0,GasA,3,Y,SBrkr,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,Typ,2,4,1935.0,3.0,2.0,786.0,2,3,Y,0,0,207,0,0,0,0,0.0,0,6,2008,WD ,257076,0,9432,8,3648,3,48
905,909101140,50,RL,60.0,10998,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,3,3,CBlock,3,3,1.0,2.0,408.0,4.0,420.0,156.0,984.0,GasA,5,Y,SBrkr,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,Min2,0,0,1977.0,1.0,2.0,660.0,3,3,Y,0,68,0,0,0,0,0,0.0,0,7,2009,WD ,117000,0,11880,0,8856,3,25
1532,909275050,70,RL,60.0,7200,Pave,Reg,HLS,AllPub,Inside,Mod,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,0.0,3,2,BrkTil,4,3,1.0,1.0,0.0,1.0,0.0,776.0,776.0,GasA,3,Y,SBrkr,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,Typ,1,4,1931.0,2.0,1.0,270.0,3,3,P,0,0,112,0,0,0,0,3.0,0,2,2008,WD ,149000,0,2430,4,9312,3,42
132,534475100,20,RL,80.0,9920,Pave,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,110.0,3,3,CBlock,3,3,1.0,3.0,354.0,2.0,290.0,412.0,1056.0,GasA,3,Y,SBrkr,1063,0,0,1063,1.0,0.0,1,0,3,1,3,6,Typ,0,0,1954.0,2.0,1.0,280.0,3,3,Y,0,0,164,0,0,0,0,3.0,0,2,2010,WD ,128000,0,2520,0,9504,3,25
